Facility,Date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
EWR,2019-06-01 00:00:00,0.0,1.0,10.0,1.0,11.0,100.0,100.0,54.55,0.0,16.0,3.4,0.0,1.27,1.51,0.18,28.45
EWR,2019-06-01 00:00:00,1.0,1.0,2.0,1.0,6.0,100.0,100.0,83.33,2.0,20.0,7.4,9.0,5.33,3.5,8.67,8.5
EWR,2019-06-01 00:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EWR,2019-06-01 00:00:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EWR,2019-06-01 00:00:00,4.0,0.0,2.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0
EWR,2019-06-01 00:00:00,5.0,5.0,13.0,5.0,16.0,100.0,100.0,87.5,0.0,18.2,5.08,2.2,12.94,2.24,5.25,50.56
EWR,2019-06-01 00:00:00,6.0,29.0,4.0,29.0,7.0,93.1,89.66,42.86,6.0,18.55,5.92,9.17,2.71,3.76,4.14,29.14
EWR,2019-06-01 00:00:00,7.0,29.0,33.0,30.0,35.0,83.33,76.67,85.71,13.1,22.67,9.9,19.63,2.86,3.33,2.51,7.14
EWR,2019-06-01 00:00:00,8.0,44.0,27.0,48.0,28.0,81.25,58.33,85.71,13.92,26.31,13.91,24.71,2.61,6.65,3.75,20.5
EWR,2019-06-01 00:00:00,9.0,31.0,19.0,33.0,18.0,75.76,48.48,94.44,22.73,26.91,14.05,33.61,1.44,4.95,1.06,1.33
EWR,2019-06-01 00:00:00,10.0,33.0,24.0,34.0,24.0,85.29,79.41,91.67,20.5,21.38,9.03,26.59,1.29,5.08,0.54,38.83
EWR,2019-06-01 00:00:00,11.0,24.0,20.0,24.0,20.0,79.17,75.0,85.0,18.13,15.88,3.69,20.42,0.45,4.07,1.7,25.1
EWR,2019-06-01 00:00:00,12.0,22.0,26.0,22.0,27.0,81.82,81.82,88.89,16.05,18.05,5.45,18.95,1.56,3.57,1.19,10.78
EWR,2019-06-01 00:00:00,13.0,12.0,28.0,12.0,28.0,66.67,66.67,85.71,43.42,15.58,3.2,45.67,2.5,2.41,2.39,12.14
EWR,2019-06-01 00:00:00,14.0,30.0,42.0,32.0,45.0,75.0,65.63,75.56,16.19,20.06,7.52,21.56,6.47,4.39,5.13,14.44
EWR,2019-06-01 00:00:00,15.0,37.0,33.0,41.0,35.0,65.85,51.22,68.57,23.93,21.29,8.52,30.54,5.31,6.11,7.23,16.2
EWR,2019-06-01 00:00:00,16.0,27.0,40.0,28.0,40.0,60.71,50.0,85.0,33.0,22.11,9.55,40.39,5.25,3.5,2.6,11.68
EWR,2019-06-01 00:00:00,17.0,37.0,29.0,37.0,30.0,62.16,51.35,46.67,26.27,24.86,11.93,35.41,11.7,8.03,13.7,35.1
EWR,2019-06-01 00:00:00,18.0,37.0,25.0,37.0,27.0,59.46,45.95,70.37,43.46,21.73,9.33,51.49,5.48,6.32,4.89,17.59
EWR,2019-06-01 00:00:00,19.0,33.0,38.0,33.0,40.0,51.52,45.45,55.0,24.97,23.15,10.58,33.97,13.25,6.98,12.88,31.68
EWR,2019-06-01 00:00:00,20.0,25.0,32.0,25.0,32.0,56.0,40.0,59.38,17.56,23.64,11.1,27.44,10.75,5.72,8.78,21.78
EWR,2019-06-01 00:00:00,21.0,23.0,21.0,25.0,19.0,68.0,56.0,57.89,17.12,18.52,6.1,22.2,5.63,3.42,13.74,61.84
EWR,2019-06-01 00:00:00,22.0,6.0,13.0,6.0,13.0,100.0,83.33,84.62,2.33,25.67,13.03,14.0,1.31,2.58,2.38,9.38
EWR,2019-06-01 00:00:00,23.0,6.0,14.0,5.0,13.0,60.0,60.0,69.23,26.4,14.8,3.04,29.0,3.92,1.98,12.54,16.15
EWR,2019-06-02 00:00:00,0.0,1.0,12.0,1.0,10.0,100.0,100.0,50.0,0.0,11.0,0.0,0.0,2.6,0.91,6.9,36.5
EWR,2019-06-02 00:00:00,1.0,1.0,5.0,1.0,2.0,100.0,100.0,100.0,0.0,16.0,3.4,0.0,0.0,0.0,0.0,1.0
EWR,2019-06-02 00:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EWR,2019-06-02 00:00:00,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,16.0,3.4,103.0,0.0,0.0,0.0,0.0
EWR,2019-06-02 00:00:00,4.0,0.0,3.0,0.0,3.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,3.33,6.3,2.67,243.33
EWR,2019-06-02 00:00:00,5.0,4.0,15.0,4.0,13.0,50.0,50.0,76.92,19.0,17.75,4.5,22.25,18.15,1.55,3.38,17.77
EWR,2019-06-02 00:00:00,6.0,25.0,6.0,24.0,4.0,91.67,100.0,100.0,1.88,15.75,3.38,2.83,0.0,1.73,0.0,0.0
EWR,2019-06-02 00:00:00,7.0,32.0,27.0,34.0,29.0,91.18,82.35,86.21,4.62,17.76,5.31,7.68,1.07,3.8,2.07,6.03
EWR,2019-06-02 00:00:00,8.0,41.0,22.0,42.0,22.0,92.86,90.48,95.45,7.29,20.45,7.9,11.9,1.86,5.91,1.18,2.0
EWR,2019-06-02 00:00:00,9.0,27.0,19.0,29.0,20.0,100.0,93.1,90.0,0.86,18.86,6.0,3.03,2.05,3.34,1.1,7.1
EWR,2019-06-02 00:00:00,10.0,38.0,25.0,38.0,25.0,97.37,89.47,96.0,1.55,18.0,5.56,4.45,1.84,2.26,0.64,4.68
EWR,2019-06-02 00:00:00,11.0,31.0,26.0,33.0,27.0,84.85,78.79,81.48,7.61,14.0,2.05,8.3,1.67,1.88,1.93,10.48
EWR,2019-06-02 00:00:00,12.0,20.0,29.0,19.0,29.0,73.68,73.68,75.86,11.89,15.21,3.22,13.63,1.62,3.43,1.21,18.52
EWR,2019-06-02 00:00:00,13.0,17.0,30.0,18.0,30.0,77.78,72.22,70.0,23.89,16.22,4.01,26.61,1.77,2.44,2.03,13.0
EWR,2019-06-02 00:00:00,14.0,35.0,47.0,34.0,43.0,70.59,67.65,67.44,11.29,20.53,8.02,17.38,4.6,2.53,3.33,34.02
EWR,2019-06-02 00:00:00,15.0,43.0,36.0,39.0,35.0,58.97,51.28,60.0,49.03,23.74,10.99,58.74,7.6,4.94,12.03,38.43
EWR,2019-06-02 00:00:00,16.0,33.0,49.0,30.0,48.0,56.67,43.33,33.33,56.4,34.43,21.7,76.6,26.21,4.71,29.44,102.46
EWR,2019-06-02 00:00:00,17.0,44.0,34.0,40.0,32.0,22.5,0.0,9.38,69.97,40.03,27.03,95.95,20.09,6.26,26.56,92.13
EWR,2019-06-02 00:00:00,18.0,42.0,27.0,37.0,31.0,21.62,5.41,19.35,93.24,37.0,24.46,117.59,9.9,10.62,21.48,114.58
EWR,2019-06-02 00:00:00,19.0,38.0,42.0,32.0,39.0,28.13,3.13,10.26,95.72,45.22,32.58,127.81,14.36,7.24,24.05,107.03
EWR,2019-06-02 00:00:00,20.0,38.0,41.0,30.0,32.0,23.33,6.67,6.25,96.4,50.33,37.77,134.1,24.38,12.24,48.59,153.94
EWR,2019-06-02 00:00:00,21.0,44.0,32.0,30.0,27.0,6.67,3.33,7.41,102.27,40.2,27.63,129.67,13.63,10.66,24.33,110.07
EWR,2019-06-02 00:00:00,22.0,8.0,19.0,8.0,20.0,0.0,0.0,0.0,85.75,30.25,17.68,103.5,54.35,7.38,85.9,132.4
EWR,2019-06-02 00:00:00,23.0,6.0,21.0,6.0,21.0,33.33,16.67,4.76,37.17,19.17,6.83,42.83,7.9,8.24,17.19,79.9
EWR,2019-06-03 00:00:00,0.0,1.0,11.0,1.0,11.0,0.0,0.0,45.45,31.0,20.0,7.4,38.0,2.09,8.67,4.27,42.0
EWR,2019-06-03 00:00:00,1.0,1.0,5.0,5.0,6.0,60.0,60.0,83.33,11.6,14.8,2.44,13.8,3.67,14.77,12.83,11.33
EWR,2019-06-03 00:00:00,2.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,11.0
EWR,2019-06-03 00:00:00,3.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3.2,1.0,0.0
EWR,2019-06-03 00:00:00,4.0,0.0,2.0,0.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0
EWR,2019-06-03 00:00:00,5.0,5.0,14.0,6.0,14.0,66.67,66.67,78.57,9.83,15.0,3.12,11.33,15.29,1.88,4.0,32.29
EWR,2019-06-03 00:00:00,6.0,41.0,6.0,41.0,6.0,95.12,90.24,83.33,7.29,19.15,6.66,11.27,3.5,1.8,0.83,13.17
EWR,2019-06-03 00:00:00,7.0,37.0,39.0,39.0,34.0,84.62,84.62,91.18,7.23,18.46,5.75,10.67,3.15,2.63,1.12,8.26
EWR,2019-06-03 00:00:00,8.0,46.0,29.0,44.0,29.0,88.64,68.18,96.55,9.27,23.57,11.07,17.32,4.52,4.9,3.66,2.66
EWR,2019-06-03 00:00:00,9.0,29.0,25.0,30.0,24.0,63.33,60.0,91.67,31.1,18.2,5.55,34.2,2.88,4.51,0.63,8.25
EWR,2019-06-03 00:00:00,10.0,37.0,26.0,37.0,25.0,94.59,86.49,88.0,4.89,18.7,6.24,8.27,1.6,2.85,1.36,8.16
EWR,2019-06-03 00:00:00,11.0,27.0,27.0,27.0,27.0,88.89,88.89,77.78,5.33,15.56,3.17,6.44,5.63,1.48,4.85,14.22
EWR,2019-06-03 00:00:00,12.0,24.0,31.0,25.0,31.0,80.0,76.0,90.32,14.52,15.44,3.3,16.64,2.23,2.52,0.97,8.84
EWR,2019-06-03 00:00:00,13.0,20.0,33.0,20.0,34.0,85.0,80.0,64.71,19.25,17.8,5.41,22.3,2.0,2.24,2.26,22.32
EWR,2019-06-03 00:00:00,14.0,36.0,46.0,36.0,47.0,80.56,75.0,48.94,7.42,17.44,5.11,10.44,2.87,3.27,3.98,30.53
EWR,2019-06-03 00:00:00,15.0,42.0,35.0,42.0,36.0,66.67,59.52,44.44,23.0,19.57,6.88,28.05,3.0,2.64,3.64,45.11
EWR,2019-06-03 00:00:00,16.0,33.0,49.0,33.0,50.0,57.58,48.48,50.0,23.85,21.79,9.19,31.3,4.1,3.45,3.64,33.32
EWR,2019-06-03 00:00:00,17.0,44.0,35.0,43.0,36.0,51.16,30.23,41.67,26.07,28.3,15.33,40.07,3.69,6.37,11.33,37.22
EWR,2019-06-03 00:00:00,18.0,42.0,27.0,43.0,27.0,48.84,18.6,37.04,33.79,31.35,18.78,51.53,3.96,7.22,5.52,38.04
EWR,2019-06-03 00:00:00,19.0,40.0,42.0,40.0,42.0,47.5,22.5,35.71,28.95,30.45,17.84,45.9,3.5,6.55,5.14,60.29
EWR,2019-06-03 00:00:00,20.0,37.0,42.0,38.0,41.0,42.11,28.95,41.46,39.66,25.16,12.64,51.13,3.83,5.03,5.98,36.56
EWR,2019-06-03 00:00:00,21.0,42.0,30.0,44.0,28.0,38.64,27.27,50.0,36.41,24.3,11.69,46.86,4.43,6.0,8.89,30.5
EWR,2019-06-03 00:00:00,22.0,9.0,23.0,18.0,22.0,61.11,38.89,50.0,15.22,21.28,8.68,22.78,7.32,4.87,5.59,28.18
EWR,2019-06-03 00:00:00,23.0,6.0,21.0,6.0,26.0,100.0,100.0,76.92,2.5,16.33,3.8,5.5,1.38,5.53,3.23,20.65
EWR,2019-06-04 00:00:00,0.0,1.0,11.0,2.0,18.0,100.0,100.0,77.78,0.0,13.0,0.7,0.0,1.17,2.56,3.06,6.67
EWR,2019-06-04 00:00:00,1.0,2.0,5.0,3.0,7.0,33.33,33.33,85.71,32.0,16.33,4.93,33.0,1.0,2.63,1.86,17.86
EWR,2019-06-04 00:00:00,2.0,0.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
EWR,2019-06-04 00:00:00,3.0,0.0,0.0,9.0,1.0,77.78,77.78,100.0,9.56,10.56,0.71,9.78,7.0,3.5,22.0,0.0
EWR,2019-06-04 00:00:00,4.0,0.0,3.0,7.0,6.0,100.0,100.0,50.0,1.57,11.86,0.77,2.14,0.83,2.65,3.5,14.5
EWR,2019-06-04 00:00:00,5.0,5.0,13.0,5.0,20.0,100.0,100.0,80.0,0.0,15.4,3.08,0.0,10.8,0.85,2.3,10.15
EWR,2019-06-04 00:00:00,6.0,39.0,6.0,39.0,12.0,97.44,94.87,75.0,8.1,19.28,6.73,11.15,0.5,3.08,1.67,8.17
EWR,2019-06-04 00:00:00,7.0,37.0,38.0,41.0,38.0,92.68,80.49,78.95,4.51,20.29,7.74,9.54,5.32,3.65,2.92,17.5
EWR,2019-06-04 00:00:00,8.0,46.0,29.0,52.0,32.0,94.23,75.0,84.38,6.69,23.69,11.1,14.92,3.19,4.79,4.06,6.44
EWR,2019-06-04 00:00:00,9.0,29.0,25.0,35.0,27.0,94.29,51.43,96.3,1.94,32.6,19.74,15.77,2.48,4.91,0.63,1.11
EWR,2019-06-04 00:00:00,10.0,36.0,26.0,39.0,27.0,89.74,84.62,100.0,6.08,18.67,6.25,9.23,1.3,2.1,0.81,0.37
EWR,2019-06-04 00:00:00,11.0,27.0,27.0,28.0,28.0,92.86,85.71,96.43,3.61,16.61,4.46,6.04,2.18,2.04,0.32,1.75
EWR,2019-06-04 00:00:00,12.0,24.0,31.0,23.0,33.0,95.65,91.3,90.91,10.83,14.52,2.23,11.57,2.33,2.03,0.3,3.12
EWR,2019-06-04 00:00:00,13.0,19.0,31.0,21.0,35.0,95.24,95.24,85.71,2.05,14.52,2.2,2.71,1.71,2.55,1.91,10.23
EWR,2019-06-04 00:00:00,14.0,36.0,46.0,39.0,46.0,89.74,87.18,80.43,5.51,16.9,4.45,8.26,4.65,2.36,4.13,9.46
EWR,2019-06-04 00:00:00,15.0,42.0,35.0,44.0,38.0,84.09,72.73,76.32,12.02,19.34,6.72,16.66,5.71,3.22,5.16,9.82
EWR,2019-06-04 00:00:00,16.0,32.0,49.0,34.0,50.0,73.53,67.65,68.0,15.24,18.26,5.71,19.03,6.6,2.2,4.0,16.56
EWR,2019-06-04 00:00:00,17.0,44.0,33.0,43.0,36.0,72.09,62.79,66.67,18.58,23.05,10.14,26.7,2.94,4.24,4.19,15.89
EWR,2019-06-04 00:00:00,18.0,42.0,27.0,42.0,29.0,83.33,61.9,68.97,7.6,24.88,12.31,17.76,3.76,4.49,5.62,10.72
EWR,2019-06-04 00:00:00,19.0,39.0,43.0,39.0,44.0,79.49,64.1,70.45,7.74,23.26,10.66,15.51,1.93,5.11,3.39,33.18
EWR,2019-06-04 00:00:00,20.0,37.0,43.0,39.0,43.0,84.62,82.05,65.12,7.69,20.97,8.39,13.64,2.88,5.17,4.07,14.37
EWR,2019-06-04 00:00:00,21.0,43.0,28.0,45.0,27.0,77.78,66.67,85.19,12.38,18.6,6.15,16.31,5.0,2.56,4.7,5.04
EWR,2019-06-04 00:00:00,22.0,10.0,23.0,17.0,22.0,82.35,82.35,81.82,6.12,16.47,3.89,8.29,2.41,4.02,1.09,8.82
EWR,2019-06-04 00:00:00,23.0,6.0,20.0,7.0,24.0,85.71,85.71,79.17,12.43,14.0,1.71,13.86,1.54,2.35,2.13,15.54
EWR,2019-06-05 00:00:00,0.0,1.0,11.0,2.0,19.0,50.0,50.0,94.74,64.5,11.0,0.0,63.0,0.74,0.59,3.05,1.95
EWR,2019-06-05 00:00:00,1.0,1.0,5.0,2.0,6.0,100.0,100.0,100.0,0.5,15.5,2.9,2.5,0.0,0.2,0.0,1.0
EWR,2019-06-05 00:00:00,2.0,0.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EWR,2019-06-05 00:00:00,3.0,0.0,0.0,10.0,1.0,80.0,80.0,100.0,8.8,11.2,0.18,8.3,0.0,0.0,0.0,0.0
EWR,2019-06-05 00:00:00,4.0,0.0,2.0,6.0,6.0,100.0,100.0,100.0,0.67,10.33,0.0,0.0,1.83,1.7,4.67,1.83
EWR,2019-06-05 00:00:00,5.0,5.0,14.0,5.0,19.0,100.0,100.0,84.21,0.0,18.0,5.06,1.8,10.0,1.21,1.53,10.0
EWR,2019-06-05 00:00:00,6.0,39.0,7.0,39.0,11.0,97.44,92.31,90.91,4.41,19.92,7.45,8.33,0.09,2.0,2.82,2.73
EWR,2019-06-05 00:00:00,7.0,36.0,37.0,39.0,39.0,84.62,79.49,94.87,14.18,21.67,9.03,20.97,3.49,2.48,1.97,2.1
EWR,2019-06-05 00:00:00,8.0,46.0,29.0,54.0,30.0,96.3,53.7,90.0,3.22,34.31,21.7,19.15,1.83,4.36,2.07,7.6
EWR,2019-06-05 00:00:00,9.0,29.0,25.0,31.0,26.0,90.32,12.9,84.62,9.19,47.06,34.15,36.71,2.42,6.32,1.77,39.92
EWR,2019-06-05 00:00:00,10.0,37.0,27.0,39.0,29.0,89.74,43.59,82.76,7.44,31.92,19.35,22.72,1.41,4.43,1.83,6.03
EWR,2019-06-05 00:00:00,11.0,28.0,27.0,27.0,28.0,96.3,81.48,96.43,2.3,22.59,10.04,9.56,2.68,4.85,2.0,1.68
EWR,2019-06-05 00:00:00,12.0,24.0,31.0,24.0,33.0,87.5,79.17,90.91,5.54,20.33,7.66,10.29,1.45,4.31,1.18,9.27
EWR,2019-06-05 00:00:00,13.0,19.0,32.0,18.0,34.0,83.33,77.78,79.41,7.39,19.33,6.69,11.89,1.65,2.8,0.85,19.97
EWR,2019-06-05 00:00:00,14.0,36.0,46.0,36.0,46.0,80.56,72.22,60.87,8.03,19.81,7.26,12.58,2.83,2.02,1.09,36.11
EWR,2019-06-05 00:00:00,15.0,42.0,35.0,43.0,35.0,60.47,55.81,51.43,38.47,19.35,6.61,43.28,2.91,2.04,5.86,35.86
EWR,2019-06-05 00:00:00,16.0,33.0,49.0,30.0,42.0,56.67,50.0,35.71,46.03,21.37,8.87,53.97,4.69,2.2,5.88,62.62
EWR,2019-06-05 00:00:00,17.0,44.0,34.0,38.0,31.0,60.53,44.74,41.94,31.11,23.37,10.41,40.29,2.42,2.35,6.48,60.1
EWR,2019-06-05 00:00:00,18.0,42.0,27.0,34.0,28.0,44.12,23.53,42.86,36.09,25.12,12.65,47.15,4.54,3.39,7.5,50.11
EWR,2019-06-05 00:00:00,19.0,39.0,42.0,36.0,37.0,44.44,22.22,37.84,46.22,22.58,10.08,55.56,2.59,2.71,7.84,55.84
EWR,2019-06-05 00:00:00,20.0,37.0,42.0,28.0,23.0,53.57,32.14,39.13,39.57,23.36,11.16,49.32,1.61,4.33,7.74,75.35
EWR,2019-06-05 00:00:00,21.0,41.0,30.0,32.0,26.0,65.63,53.13,30.77,20.0,20.5,7.93,26.13,4.69,2.35,5.62,48.62
EWR,2019-06-05 00:00:00,22.0,9.0,23.0,15.0,23.0,60.0,60.0,39.13,22.87,16.4,3.97,25.33,6.35,2.4,4.22,31.78
EWR,2019-06-05 00:00:00,23.0,7.0,20.0,7.0,25.0,85.71,85.71,40.0,4.0,14.71,2.57,5.43,5.24,1.73,2.4,45.36
EWR,2019-06-06 00:00:00,0.0,1.0,10.0,3.0,20.0,33.33,33.33,70.0,40.0,15.33,3.47,42.67,3.15,0.23,2.95,12.25
EWR,2019-06-06 00:00:00,1.0,3.0,5.0,4.0,5.0,75.0,50.0,60.0,21.25,16.75,4.15,25.0,0.2,0.88,0.0,15.2
EWR,2019-06-06 00:00:00,2.0,0.0,0.0,1.0,3.0,100.0,100.0,100.0,0.0,10.0,0.0,0.0,0.0,0.83,0.0,0.0
EWR,2019-06-06 00:00:00,3.0,0.0,0.0,10.0,1.0,80.0,80.0,100.0,9.0,11.7,1.08,9.2,0.0,0.0,0.0,0.0
EWR,2019-06-06 00:00:00,4.0,0.0,2.0,6.0,6.0,100.0,100.0,66.67,3.0,11.17,0.23,2.0,0.83,1.37,2.5,10.33
EWR,2019-06-06 00:00:00,5.0,6.0,17.0,7.0,19.0,85.71,85.71,57.89,36.14,19.0,6.29,41.86,11.68,2.11,4.95,56.79
EWR,2019-06-06 00:00:00,6.0,43.0,9.0,43.0,14.0,97.67,88.37,100.0,1.19,21.14,8.45,5.44,1.21,2.14,2.64,1.29
EWR,2019-06-06 00:00:00,7.0,38.0,39.0,40.0,35.0,92.5,87.5,91.43,2.73,18.45,5.71,6.03,4.66,2.38,2.11,7.0
EWR,2019-06-06 00:00:00,8.0,46.0,30.0,52.0,34.0,86.54,61.54,79.41,10.65,26.27,13.7,20.69,3.71,2.68,3.03,13.5
EWR,2019-06-06 00:00:00,9.0,28.0,27.0,32.0,30.0,65.63,53.13,93.33,17.66,26.13,13.32,27.59,3.3,2.42,2.9,3.0
EWR,2019-06-06 00:00:00,10.0,38.0,28.0,41.0,28.0,78.05,68.29,89.29,10.51,22.68,10.19,17.63,3.71,4.14,3.43,7.82
EWR,2019-06-06 00:00:00,11.0,37.0,31.0,37.0,32.0,83.78,59.46,93.75,3.89,23.97,11.43,12.59,3.13,3.42,2.0,11.69
EWR,2019-06-06 00:00:00,12.0,24.0,28.0,27.0,28.0,81.48,66.67,78.57,29.81,19.85,7.47,35.07,0.79,6.02,1.71,39.75
EWR,2019-06-06 00:00:00,13.0,20.0,35.0,20.0,36.0,75.0,70.0,86.11,14.25,16.85,4.48,17.8,1.28,2.6,1.92,8.0
EWR,2019-06-06 00:00:00,14.0,36.0,45.0,37.0,49.0,72.97,59.46,75.51,28.41,22.51,10.08,36.95,2.84,2.25,1.94,10.0
EWR,2019-06-06 00:00:00,15.0,40.0,36.0,44.0,37.0,61.36,52.27,40.54,23.32,23.73,11.24,32.89,2.08,6.01,5.38,25.03
EWR,2019-06-06 00:00:00,16.0,35.0,49.0,35.0,48.0,40.0,28.57,35.42,45.54,28.83,16.15,60.26,2.81,6.17,4.19,54.1
EWR,2019-06-06 00:00:00,17.0,44.0,33.0,42.0,34.0,59.52,28.57,50.0,19.64,33.0,20.04,38.02,1.21,9.68,4.38,19.44
EWR,2019-06-06 00:00:00,18.0,41.0,27.0,42.0,32.0,61.9,2.38,56.25,19.17,38.38,25.81,43.76,2.16,6.46,2.81,39.31
EWR,2019-06-06 00:00:00,19.0,39.0,42.0,40.0,45.0,55.0,20.0,40.0,32.28,29.85,17.24,47.68,1.51,5.89,1.38,36.6
EWR,2019-06-06 00:00:00,20.0,38.0,43.0,38.0,43.0,52.63,31.58,41.86,40.79,23.45,10.87,50.47,2.84,5.66,3.7,38.56
EWR,2019-06-06 00:00:00,21.0,43.0,30.0,45.0,29.0,51.11,28.89,51.72,27.53,26.47,13.89,39.04,3.03,4.24,2.14,30.52
EWR,2019-06-06 00:00:00,22.0,11.0,24.0,18.0,23.0,77.78,66.67,60.87,14.61,20.61,8.0,20.56,3.43,6.7,1.22,31.13
EWR,2019-06-06 00:00:00,23.0,9.0,24.0,9.0,29.0,88.89,88.89,82.76,3.78,16.78,4.51,7.11,1.34,2.58,1.41,20.34
EWR,2019-06-07 00:00:00,0.0,1.0,10.0,2.0,17.0,100.0,100.0,88.24,0.0,11.5,0.0,0.0,0.59,2.93,0.0,13.53
EWR,2019-06-07 00:00:00,1.0,1.0,5.0,3.0,6.0,66.67,66.67,66.67,18.0,9.67,0.47,16.0,0.5,2.7,8.5,35.83
EWR,2019-06-07 00:00:00,2.0,0.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4.5,0.5,0.0
EWR,2019-06-07 00:00:00,3.0,0.0,0.0,10.0,1.0,70.0,70.0,100.0,9.5,8.2,0.14,8.3,0.0,1.5,0.0,0.0
EWR,2019-06-07 00:00:00,4.0,0.0,2.0,6.0,4.0,100.0,100.0,50.0,2.0,8.67,0.0,0.67,2.0,3.55,7.75,32.25
EWR,2019-06-07 00:00:00,5.0,6.0,18.0,6.0,25.0,100.0,100.0,76.0,0.0,16.67,4.03,1.5,8.0,1.65,2.0,14.76
EWR,2019-06-07 00:00:00,6.0,44.0,9.0,45.0,13.0,91.11,77.78,69.23,7.02,21.67,9.09,13.47,1.15,2.47,5.0,18.62
EWR,2019-06-07 00:00:00,7.0,38.0,39.0,38.0,40.0,81.58,76.32,90.0,8.61,19.82,7.23,13.45,3.75,2.5,3.6,4.68
EWR,2019-06-07 00:00:00,8.0,46.0,30.0,50.0,30.0,80.0,58.0,96.67,26.12,27.16,14.62,38.1,2.37,6.01,1.4,3.87
EWR,2019-06-07 00:00:00,9.0,28.0,27.0,28.0,28.0,92.86,46.43,85.71,3.61,32.68,19.68,18.71,0.93,4.33,1.0,4.29
EWR,2019-06-07 00:00:00,10.0,38.0,29.0,40.0,31.0,90.0,75.0,93.55,4.35,24.9,12.42,13.95,2.84,3.93,2.77,5.52
EWR,2019-06-07 00:00:00,11.0,36.0,29.0,38.0,29.0,86.84,34.21,86.21,5.39,31.53,18.98,20.82,1.9,3.84,2.31,6.93
EWR,2019-06-07 00:00:00,12.0,24.0,30.0,24.0,31.0,75.0,62.5,93.55,14.96,20.17,7.55,20.67,1.32,3.8,0.87,4.16
EWR,2019-06-07 00:00:00,13.0,18.0,36.0,19.0,36.0,78.95,73.68,86.11,14.05,16.58,4.66,17.63,2.72,3.42,2.69,4.78
EWR,2019-06-07 00:00:00,14.0,36.0,45.0,36.0,47.0,72.22,58.33,85.11,13.06,20.0,7.63,18.75,2.96,3.86,4.83,7.0
EWR,2019-06-07 00:00:00,15.0,40.0,36.0,40.0,36.0,80.0,62.5,86.11,7.58,21.38,8.76,14.7,5.86,5.72,3.78,9.78
EWR,2019-06-07 00:00:00,16.0,35.0,49.0,34.0,50.0,82.35,58.82,80.0,26.68,25.47,12.67,36.56,2.42,4.09,1.02,8.88
EWR,2019-06-07 00:00:00,17.0,44.0,34.0,43.0,35.0,83.72,41.86,80.0,11.63,30.79,17.83,26.93,4.29,5.78,2.83,19.14
EWR,2019-06-07 00:00:00,18.0,41.0,27.0,41.0,28.0,58.54,34.15,78.57,25.63,25.49,12.95,37.15,3.71,7.77,2.68,14.29
EWR,2019-06-07 00:00:00,19.0,40.0,43.0,40.0,44.0,77.5,60.0,68.18,14.08,20.75,8.16,20.93,3.23,5.35,5.02,16.05
EWR,2019-06-07 00:00:00,20.0,38.0,42.0,39.0,41.0,56.41,30.77,78.05,21.67,27.18,14.55,34.74,3.24,7.27,3.02,12.56
EWR,2019-06-07 00:00:00,21.0,43.0,29.0,44.0,30.0,81.82,43.18,73.33,26.8,29.52,16.94,41.18,3.63,6.42,3.03,15.03
EWR,2019-06-07 00:00:00,22.0,10.0,24.0,13.0,24.0,84.62,69.23,66.67,5.0,27.92,15.23,15.54,2.96,3.4,0.71,39.92
EWR,2019-06-07 00:00:00,23.0,10.0,24.0,11.0,25.0,72.73,72.73,84.0,9.55,17.55,5.13,13.36,1.48,2.35,2.12,8.52
EWR,2019-06-08 00:00:00,0.0,1.0,10.0,2.0,11.0,100.0,50.0,81.82,6.5,14.5,2.4,8.5,2.45,1.48,4.27,25.36
EWR,2019-06-08 00:00:00,1.0,1.0,2.0,1.0,5.0,100.0,100.0,60.0,0.0,21.0,8.4,0.0,3.2,1.84,3.8,37.0
